time,avergp1,sratio1,hh1,ll1,avergp2,sratio2,hh2,ll2,avergp3,sratio3,hh3,ll3,avergp4,sratio4,hh4,ll4,avergp5,sratio5,hh5,ll5
2019-10-17
2019-10-18,0,0,0
2019-10-21,0,0,0,0,0,0
2019-10-22,0,0,0,0,0,0,0,0,0
2019-10-23,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-17,2.27,100.0,2.27,0,1.67,100.0,1.67,0,-1.67,0.0,0,-1.67,-4.24,0.0,0,-4.24,0.45,100.0,0.45,0
2019-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-19,-1.81,0.0,0,-1.81,-0.9,0.0,0,-0.9,0.9,100.0,0.9,0,1.13,100.0,1.13,0,5.87,100.0,5.87,0
2019-12-20,-4.13,0.0,0,-5.69,-1.41,50.0,0.43,-3.25,-0.21,50.0,1.28,-1.7,1.02,50.0,3.21,-1.18,-2.56,0.0,0,-4.28
2019-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-24,4.71,100.0,4.92,0,3.55,100.0,3.82,0,-0.31,0.0,0,-0.33,-1.02,0.0,0,-1.71,-2.65,0.0,0,-3.64
2019-12-25,1.72,66.67,4.69,-0.2,0.27,66.67,1.53,-1.62,0.29,33.33,3.35,-2.03,0.45,33.33,3.01,-1.45,3.03,66.67,7.83,-0.76
2019-12-26,-1.62,22.22,4.09,-4.65,-1.36,33.33,5.29,-4.83,-1.35,33.33,4.81,-6.7,2.33,66.67,7.74,-4.07,3.37,55.56,10.2,-2.97
2019-12-27,2.47,100.0,2.47,0,2.12,100.0,2.12,0,3.77,100.0,3.77,0,6.19,100.0,6.19,0,13.44,100.0,13.44,0
2019-12-30,-0.83,33.33,0.6,-3.71,2.72,100.0,4.5,0,4.47,100.0,7.5,0,6.92,100.0,14.61,0,9.62,100.0,19.88,0
2019-12-31,2.41,100.0,4.68,0,3.02,92.31,7.71,-0.12,5.65,100.0,14.99,0,6.49,100.0,20.28,0,7.76,100.0,16.42,0
2020-01-02,1.13,60.0,2.6,-0.72,3.26,80.0,9.31,-0.05,3.24,80.0,6.76,0,6.55,100.0,10.9,0,8.34,100.0,11.7,0
2020-01-03,1.28,60.0,4.33,-1.05,2.97,80.0,11.0,-1.72,1.72,60.0,6.12,-1.86,3.22,70.0,11.41,-1.92,3.2,80.0,10.2,-1.98
2020-01-06,0.53,60.0,1.65,-0.87,0.07,40.0,5.31,-2.94,1.51,60.0,6.16,-1.72,0.58,60.0,5.1,-3.58,2.7,100.0,4.88,0
2020-01-07,-1.28,27.27,5.98,-4.28,0.46,36.36,7.81,-3.0,0.14,45.45,5.77,-4.56,2.18,63.64,13.48,-3.0,1.61,36.36,8.91,-3.36
2020-01-08,2.78,100.0,5.15,0,2.16,100.0,4.01,0,2.15,66.67,4.71,-0.8,1.1,66.67,3.08,-0.48,0.9,66.67,4.1,-1.99
2020-01-09,-0.51,31.58,2.69,-3.31,0.72,52.63,4.6,-2.01,-0.22,52.63,3.32,-5.0,-0.07,42.11,9.54,-5.68,0.25,31.58,11.06,-5.13
2020-01-10,2.16,83.33,10.01,-0.39,2.19,66.67,5.65,-2.6,0.42,50.0,7.31,-6.64,-0.08,41.67,10.76,-7.36,-1.21,33.33,7.69,-7.36
2020-01-13,0.55,68.42,7.29,-3.05,-0.84,31.58,3.87,-4.62,-1.02,31.58,2.28,-4.05,-1.67,36.84,2.68,-8.15,-0.92,26.32,12.91,-8.87
2020-01-14,-0.8,33.33,4.5,-4.71,0.18,41.67,8.83,-4.14,1.8,50.0,19.74,-5.37,3.78,50.0,31.77,-9.29,3.35,33.33,44.92,-10.48
2020-01-15,0.4,40.91,10.08,-1.82,0.25,54.55,21.1,-6.81,2.32,59.09,33.27,-7.8,1.19,31.82,46.58,-9.02,4.04,50.0,61.22,-13.13
2020-01-16,0.24,48.15,10.02,-3.47,1.8,62.96,16.73,-9.04,-0.12,40.74,17.03,-10.24,2.6,62.96,23.05,-14.29,-0.8,40.74,18.94,-20.29
2020-01-17,2.13,82.35,9.95,-0.91,0.36,29.41,12.02,-8.21,2.57,47.06,15.05,-10.07,-1.48,47.06,10.09,-13.91,-11.34,0.0,0,-22.52
2020-01-20,-2.86,8.33,2.91,-8.58,-1.65,25.0,5.74,-10.42,-4.28,25.0,5.9,-14.25,-13.85,0.0,0,-22.82,-13.88,0.0,0,-25.46
2020-01-21,2.36,75.0,10.02,-1.44,-2.18,25.0,5.22,-6.55,-11.82,0.0,0,-15.95,-10.86,8.33,5.76,-18.42,-7.38,16.67,16.33,-16.3
2020-01-22,-4.58,0.0,0,-5.39,-14.11,0.0,0,-14.85,-12.67,0.0,0,-15.88,-11.19,0.0,0,-13.22,-9.96,0.0,0,-12.86
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,4.59,100.0,4.59,0,2.97,100.0,2.97,0,6.8,100.0,6.8,0,4.42,100.0,4.42,0,2.85,100.0,2.85,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0.97,33.33,6.08,-0.3,0.31,33.33,5.63,-2.68,-0.52,33.33,4.01,-2.71,0.8,50.0,6.86,-1.93,2.35,66.67,8.33,-1.31
2020-02-12,-1.44,19.23,5.8,-4.24,-0.67,26.92,9.21,-5.11,1.71,53.85,17.49,-2.83,3.6,73.08,19.43,-2.28,1.74,50.0,21.74,-5.02
2020-02-13,1.0,25.0,10.01,-2.4,5.27,75.0,21.0,-0.85,8.39,100.0,20.57,0,8.75,75.0,25.38,-3.67,12.63,75.0,37.92,-1.7
2020-02-14,3.84,100.0,9.14,0,5.26,100.0,8.89,0,4.18,90.0,14.12,-2.83,5.27,90.0,19.68,-2.99,7.07,100.0,18.63,0
2020-02-17,3.56,90.91,9.04,-0.17,0.43,45.45,3.99,-3.14,0.78,63.64,7.96,-6.91,3.25,72.73,10.07,-2.48,5.39,81.82,21.02,-1.04
2020-02-18,-1.3,33.33,4.17,-4.55,-1.94,33.33,2.95,-7.91,-0.85,33.33,1.91,-3.53,-0.72,33.33,6.12,-5.51,1.47,50.0,16.74,-6.05
2020-02-19,0.76,66.67,1.65,-0.11,1.29,66.67,4.29,-1.42,3.1,66.67,10.89,-4.69,3.46,66.67,11.88,-5.23,1.17,33.33,9.35,-3.87
2020-02-20,1.94,71.43,7.03,-2.14,3.36,61.9,16.35,-4.59,3.73,61.9,17.74,-5.13,0.42,38.1,20.12,-7.81,1.39,47.62,17.74,-8.19
2020-02-21,-0.72,42.86,2.87,-6.86,0.28,50.0,8.39,-6.53,-2.42,14.29,6.03,-6.62,-2.88,21.43,9.28,-10.2,-7.81,7.14,6.9,-16.77
2020-02-24,2.25,66.67,7.99,-3.83,-0.33,22.22,15.12,-5.37,0.45,44.44,9.4,-6.58,-3.69,33.33,6.51,-14.62,-0.49,44.44,9.62,-13.59
2020-02-25,0.04,33.33,3.45,-2.88,0.0,66.67,3.11,-3.23,-4.05,0.0,0,-5.8,-0.77,33.33,1.38,-3.68,0.24,33.33,4.49,-3.78
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,-5.83,0.0,0,-8.86,-2.85,9.09,1.53,-6.2,-1.77,36.36,1.34,-6.31,-0.61,45.45,11.16,-7.88,1.46,63.64,11.22,-6.58
2020-02-28,2.21,100.0,2.21,0,-1.78,0.0,0,-1.78,-1.68,0.0,0,-1.68,-0.72,0.0,0,-0.72,-2.12,0.0,0,-2.12
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0.65,50.0,1.54,-0.25,6.86,100.0,9.82,0,6.42,100.0,10.83,0,4.21,50.0,10.08,-1.65,5.89,100.0,11.08,0
2020-03-04,5.35,100.0,10.1,0,5.92,50.0,14.07,-1.05,2.35,50.0,10.35,-7.91,1.96,50.0,11.36,-2.24,-0.8,25.0,8.59,-4.45
2020-03-05,-0.7,28.57,2.57,-2.9,-3.89,28.57,5.27,-11.02,-4.06,14.29,1.72,-9.94,-6.05,14.29,5.39,-12.06,-8.34,14.29,0.12,-14.64
2020-03-06,-3.28,28.57,4.76,-9.04,-2.3,7.14,8.98,-7.94,-4.03,14.29,5.73,-11.21,-6.36,7.14,1.84,-14.33,-6.7,7.14,1.14,-16.84
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,-1.3,0.0,0,-1.3,-3.5,0.0,0,-3.5,-8.49,0.0,0,-8.49
2020-03-12,-1.18,20.0,2.32,-2.98,-7.21,0.0,0,-11.49
2020-03-13,0,0,0,0
2020-03-16
